orcamento,max_iter,seed,erro,iteracoes,status
10.0,100,0,0.0,28,OTIMA
10.0,100,1,0.0,13,OTIMA
10.0,100,2,0.0,49,OTIMA
10.0,100,3,0.2,100,APROXIMADA
10.0,100,4,0.0,66,OTIMA
10.0,100,5,0.0,55,OTIMA
10.0,100,6,0.0,73,OTIMA
10.0,100,7,0.0,27,OTIMA
10.0,100,8,0.0,34,OTIMA
10.0,100,9,0.0,58,OTIMA
10.0,1000,0,0.0,28,OTIMA
10.0,1000,1,0.0,13,OTIMA
10.0,1000,2,0.0,49,OTIMA
10.0,1000,3,0.0,153,OTIMA
10.0,1000,4,0.0,66,OTIMA
10.0,1000,5,0.0,55,OTIMA
10.0,1000,6,0.0,73,OTIMA
10.0,1000,7,0.0,27,OTIMA
10.0,1000,8,0.0,34,OTIMA
10.0,1000,9,0.0,58,OTIMA
10.0,10000,0,0.0,28,OTIMA
10.0,10000,1,0.0,13,OTIMA
10.0,10000,2,0.0,49,OTIMA
10.0,10000,3,0.0,153,OTIMA
10.0,10000,4,0.0,66,OTIMA
10.0,10000,5,0.0,55,OTIMA
10.0,10000,6,0.0,73,OTIMA
10.0,10000,7,0.0,27,OTIMA
10.0,10000,8,0.0,34,OTIMA
10.0,10000,9,0.0,58,OTIMA
15.0,100,0,0.0,59,OTIMA
15.0,100,1,0.0,13,OTIMA
15.0,100,2,0.0,32,OTIMA
15.0,100,3,0.0,31,OTIMA
15.0,100,4,0.0,19,OTIMA
15.0,100,5,0.0,62,OTIMA
15.0,100,6,0.0,71,OTIMA
15.0,100,7,0.0,52,OTIMA
15.0,100,8,0.0,34,OTIMA
15.0,100,9,0.0,58,OTIMA
15.0,1000,0,0.0,59,OTIMA
15.0,1000,1,0.0,13,OTIMA
15.0,1000,2,0.0,32,OTIMA
15.0,1000,3,0.0,31,OTIMA
15.0,1000,4,0.0,19,OTIMA
15.0,1000,5,0.0,62,OTIMA
15.0,1000,6,0.0,71,OTIMA
15.0,1000,7,0.0,52,OTIMA
15.0,1000,8,0.0,34,OTIMA
15.0,1000,9,0.0,58,OTIMA
15.0,10000,0,0.0,59,OTIMA
15.0,10000,1,0.0,13,OTIMA
15.0,10000,2,0.0,32,OTIMA
15.0,10000,3,0.0,31,OTIMA
15.0,10000,4,0.0,19,OTIMA
15.0,10000,5,0.0,62,OTIMA
15.0,10000,6,0.0,71,OTIMA
15.0,10000,7,0.0,52,OTIMA
15.0,10000,8,0.0,34,OTIMA
15.0,10000,9,0.0,58,OTIMA
20.0,100,0,0.0,51,OTIMA
20.0,100,1,0.05,100,APROXIMADA
20.0,100,2,0.0,37,OTIMA
20.0,100,3,0.0,42,OTIMA
20.0,100,4,0.0,32,OTIMA
20.0,100,5,0.0,54,OTIMA
20.0,100,6,0.05,100,APROXIMADA
20.0,100,7,0.0,60,OTIMA
20.0,100,8,0.0,85,OTIMA
20.0,100,9,0.0,92,OTIMA
20.0,1000,0,0.0,51,OTIMA
20.0,1000,1,0.0,115,OTIMA
20.0,1000,2,0.0,37,OTIMA
20.0,1000,3,0.0,42,OTIMA
20.0,1000,4,0.0,32,OTIMA
20.0,1000,5,0.0,54,OTIMA
20.0,1000,6,0.0,104,OTIMA
20.0,1000,7,0.0,60,OTIMA
20.0,1000,8,0.0,85,OTIMA
20.0,1000,9,0.0,92,OTIMA
20.0,10000,0,0.0,51,OTIMA
20.0,10000,1,0.0,115,OTIMA
20.0,10000,2,0.0,37,OTIMA
20.0,10000,3,0.0,42,OTIMA
20.0,10000,4,0.0,32,OTIMA
20.0,10000,5,0.0,54,OTIMA
20.0,10000,6,0.0,104,OTIMA
20.0,10000,7,0.0,60,OTIMA
20.0,10000,8,0.0,85,OTIMA
20.0,10000,9,0.0,92,OTIMA
25.0,100,0,0.0,45,OTIMA
25.0,100,1,0.0,33,OTIMA
25.0,100,2,0.0,43,OTIMA
25.0,100,3,0.0,53,OTIMA
25.0,100,4,0.25,100,APROXIMADA
25.0,100,5,0.0,54,OTIMA
25.0,100,6,0.05,100,APROXIMADA
25.0,100,7,0.0,71,OTIMA
25.0,100,8,0.0,44,OTIMA
25.0,100,9,0.0,63,OTIMA
25.0,1000,0,0.0,45,OTIMA
25.0,1000,1,0.0,33,OTIMA
25.0,1000,2,0.0,43,OTIMA
25.0,1000,3,0.0,53,OTIMA
25.0,1000,4,0.0,107,OTIMA
25.0,1000,5,0.0,54,OTIMA
25.0,1000,6,0.0,104,OTIMA
25.0,1000,7,0.0,71,OTIMA
25.0,1000,8,0.0,44,OTIMA
25.0,1000,9,0.0,63,OTIMA
25.0,10000,0,0.0,45,OTIMA
25.0,10000,1,0.0,33,OTIMA
25.0,10000,2,0.0,43,OTIMA
25.0,10000,3,0.0,53,OTIMA
25.0,10000,4,0.0,107,OTIMA
25.0,10000,5,0.0,54,OTIMA
25.0,10000,6,0.0,104,OTIMA
25.0,10000,7,0.0,71,OTIMA
25.0,10000,8,0.0,44,OTIMA
25.0,10000,9,0.0,63,OTIMA
30.0,100,0,0.0,71,OTIMA
30.0,100,1,0.0,37,OTIMA
30.0,100,2,0.0,78,OTIMA
30.0,100,3,0.0,71,OTIMA
30.0,100,4,0.0,59,OTIMA
30.0,100,5,0.0,54,OTIMA
30.0,100,6,0.0,87,OTIMA
30.0,100,7,0.0,71,OTIMA
30.0,100,8,0.0,59,OTIMA
30.0,100,9,0.05,100,APROXIMADA
30.0,1000,0,0.0,71,OTIMA
30.0,1000,1,0.0,37,OTIMA
30.0,1000,2,0.0,78,OTIMA
30.0,1000,3,0.0,71,OTIMA
30.0,1000,4,0.0,59,OTIMA
30.0,1000,5,0.0,54,OTIMA
30.0,1000,6,0.0,87,OTIMA
30.0,1000,7,0.0,71,OTIMA
30.0,1000,8,0.0,59,OTIMA
30.0,1000,9,0.0,124,OTIMA
30.0,10000,0,0.0,71,OTIMA
30.0,10000,1,0.0,37,OTIMA
30.0,10000,2,0.0,78,OTIMA
30.0,10000,3,0.0,71,OTIMA
30.0,10000,4,0.0,59,OTIMA
30.0,10000,5,0.0,54,OTIMA
30.0,10000,6,0.0,87,OTIMA
30.0,10000,7,0.0,71,OTIMA
30.0,10000,8,0.0,59,OTIMA
30.0,10000,9,0.0,124,OTIMA
50.0,100,0,0.25,100,APROXIMADA
50.0,100,1,0.5,100,APROXIMADA
50.0,100,2,0.05,100,APROXIMADA
50.0,100,3,0.25,100,APROXIMADA
50.0,100,4,0.0,92,OTIMA
50.0,100,5,0.05,100,APROXIMADA
50.0,100,6,0.7,100,APROXIMADA
50.0,100,7,0.2,100,APROXIMADA
50.0,100,8,0.15,100,APROXIMADA
50.0,100,9,0.0,100,OTIMA
50.0,1000,0,0.0,149,OTIMA
50.0,1000,1,0.0,123,OTIMA
50.0,1000,2,0.0,109,OTIMA
50.0,1000,3,0.0,114,OTIMA
50.0,1000,4,0.0,92,OTIMA
50.0,1000,5,0.0,133,OTIMA
50.0,1000,6,0.0,118,OTIMA
50.0,1000,7,0.0,151,OTIMA
50.0,1000,8,0.0,156,OTIMA
50.0,1000,9,0.0,100,OTIMA
50.0,10000,0,0.0,149,OTIMA
50.0,10000,1,0.0,123,OTIMA
50.0,10000,2,0.0,109,OTIMA
50.0,10000,3,0.0,114,OTIMA
50.0,10000,4,0.0,92,OTIMA
50.0,10000,5,0.0,133,OTIMA
50.0,10000,6,0.0,118,OTIMA
50.0,10000,7,0.0,151,OTIMA
50.0,10000,8,0.0,156,OTIMA
50.0,10000,9,0.0,100,OTIMA
